Date,Dayofweek,Attended,Arrival,Departure,TotalTime,TotalMinutes,DogInteractions,Weather,Temperature,Precipitation,Busyness,Averagedogsbydayofweek,Totaldogsbydaysofweek,TotalMinutesByDay,AverageBusyness
1/1/2023,Sunday,y,10:55:00 AM,12:03:00 PM,1:08:00,68,6,Cloudy,49,5,2,4,181,2076,2.5
1/2/2023,Monday,y,1:19:00 PM,2:12:00 PM,0:53:00,53,8,Cloudy,53,20,1,5,217,2072,3
1/3/2023,Tuesday,y,5:06:00 PM,5:50:00 PM,0:44:00,44,1,Mostly cloudy,62,10,4,6,270,2177,4
1/4/2023,Wednesday,y,5:05:00 PM,5:53:00 PM,0:48:00,48,4,Cloudy,42,0,3,5,185,1817,3.5
1/5/2023,Thursday,y,5:08:00 PM,6:04:00 PM,0:56:00,56,3,Cloudy,39,20,4,5,202,1920,3
1/6/2023,Friday,y,5:16:00 PM,6:01:00 PM,0:45:00,45,5,Mostly cloudy ,35,0,3,6,246,1885,3
1/7/2023,Saturday,y,1:47:00 PM,2:37:00 PM,0:50:00,50,7,Partly cloudy,35,0,2,4,158,1950,2.5
1/8/2023,Sunday,y,12:10:00 PM,1:06:00 PM,0:56:00,56,4,Cloudy,34,60,1,,,,
1/10/2023,Tuesday,y,5:05:00 PM,5:57:00 PM,0:52:00,52,6,Sunny,50,0,5,,,,
1/11/2023,Wednesday,y,4:59:00 PM,5:50:00 PM,0:51:00,51,4,Cloudy,48,10,3,,,,
1/13/2023,Friday,y,4:55:00 PM,5:45:00 PM,0:50:00,50,9,Cloudy,32,20,2,,,,
1/14/2023,Saturday,y,4:03:00 PM,4:56:00 PM,0:53:00,53,5,Cloudy,33,0,2,,,,
1/15/2023,Sunday,y,1:18:00 PM,2:08:00 PM,0:50:00,50,9,Sunny,38,0,1,,,,
1/16/2023,Monday,y,11:13:00 AM,12:19:00 PM,1:06:00,66,9,Cloudy,40,50,1,,,,
1/17/2023,Tuesday,y,5:02:00 PM,5:49:00 PM,0:47:00,47,4,Mostly cloudy ,43,0,2,,,,
1/19/2023,Thursday,y,5:10:00 PM,5:48:00 PM,0:38:00,38,4,Cloudy,41,20,1,,,,
1/20/2023,Friday,y,5:15:00 PM,6:04:00 PM,0:49:00,49,4,Cloudy,34,20,2,,,,
1/23/2023,Monday,y,5:13:00 PM,6:02:00 PM,0:49:00,49,7,Cloudy,32,0,3,,,,
1/24/2023,Tuesday,y,5:17:00 PM,6:13:00 PM,0:56:00,56,1,Sunny,42,0,2,,,,
1/25/2023,Wednesday,y,5:32:00 PM,6:11:00 PM,0:39:00,39,2,Cloudy,33,20,2,,,,
1/26/2023,Thursday,y,5:13:00 PM,5:46:00 PM,0:33:00,33,4,Cloudy,26,38,2,,,,
1/29/2023,Sunday,y,5:20:00 PM,6:02:00 PM,0:42:00,42,3,Cloudy,33,0,5,,,,
1/31/2023,Tuesday,y,5:14:00 PM,5:58:00 PM,0:44:00,44,6,Mostly sunny,23,0,5,,,,
2/1/2023,Wednesday,y,5:08:00 PM,5:42:00 PM,0:34:00,34,12,Sunny,29,0,4,,,,
2/2/2022,Thursday,y,4:59:00 PM,6:02:00 PM,1:03:00,63,24,Sunny,38,1,4,,,,
2/3/2023,Friday,y,5:15:00 PM,5:53:00 PM,0:38:00,38,9,Sunny,24,0,3,,,,
2/4/2023,Saturday,y,3:08:00 PM,4:13:00 PM,1:05:00,65,3,Sunny,43,0,2,,,,
2/5/2023,Sunday,y,5:15:00 PM,6:05:00 PM,0:50:00,50,7,Partly cloudy,53,0,1,,,,
2/6/2023,Monday,y,4:57:00 PM,5:59:00 PM,1:02:00,62,12,Sunny,45,0,3,,,,
2/7/2023,Tuesday,y,5:07:00 PM,5:56:00 PM,0:49:00,49,14,Mostly cloudy,55,20,4,,,,
2/8/2023,Wednesday,y,5:15:00 PM,6:02:00 PM,0:47:00,47,13,Cloudy,51,10,3,,,,
2/11/2023,Saturday,y,11:25:00 AM,12:13:00 PM,0:48:00,48,14,Sunny,35,0,3,,,,
2/13/2023,Monday,y,3:56:00 PM,4:21:00 PM,0:25:00,25,0,Sunny,55,0,4,,,,
2/14/2023,Tuesday,y,5:18:00 PM,6:02:00 PM,0:44:00,44,14,Cloudy ,56,70,5,,,,
2/15/2022,Wednesday,y,5:13:00 PM,6:17:00 PM,1:04:00,64,16,Sunny,65,0,4,,,,
2/17/2023,Friday,y,5:04:00 PM,5:56:00 PM,0:52:00,52,11,Cloudy,28,0,3,,,,
2/18/2023,Saturday,y,2:35:00 PM,4:22:00 PM,1:47:00,107,2,Sunny,48,0,2,,,,
2/19/2023,Sunday,y,4:31:00 PM,5:25:00 PM,0:54:00,54,9,Sunny,57,0,2,,,,
2/20/2023,Monday,y,5:04:00 PM,5:49:00 PM,0:45:00,45,5,Mostly sunny,55,0,3,,,,
2/21/2023,Tuesday,y,5:10:00 PM,6:00:00 PM,0:50:00,50,23,Sunny,46,0,4,,,,
2/23/2023,Thursday,y,6:51:00 PM,7:16:00 PM,0:25:00,25,0,Partly cloudy,42,0,4,,,,
2/24/2023,Friday,y,5:04:00 PM,6:01:00 PM,0:57:00,57,12,Partly cloudy,39,0,3,,,,
2/25/2023,Saturday,y,1:15:00 PM,1:48:00 PM,0:33:00,33,1,Mostly sunny,45,0,4,,,,
2/26/2023,Sunday,y,6:03:00 PM,6:43:00 PM,0:40:00,40,4,Sunny,55,0,3,,,,
2/28/2023,Tuesday,y,6:06:00 PM,6:56:00 PM,0:50:00,50,3,Sunny,50,0,5,,,,
